model,step,tokens_b,loss,l2,ce,plan,lr,sps,log_path
ordered,4600,0.1507328,1.6033,0.6909,0.1757,1.0001,6.04e-05,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,4700,0.1540096,1.5925,0.6851,0.1797,1.0033,6.16e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,4800,0.1572864,1.5836,0.6899,0.176,0.9919,6.31e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,4900,0.1605632,1.5874,0.6837,0.1772,1.0001,6.44e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,5000,0.16384,1.5908,0.685,0.1716,1.0022,6.56e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,5100,0.1671168,1.5963,0.6964,0.1785,1.0011,6.69e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,5200,0.1703936,1.5892,0.6891,0.1748,0.9953,6.84e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,5300,0.1736704,1.5956,0.6858,0.1756,1.0051,6.96e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,5400,0.1769472,1.59,0.6867,0.1721,0.9992,7.09e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,5500,0.180224,1.5905,0.6944,0.1755,0.9946,7.21e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,5600,0.1835008,1.5973,0.6911,0.1654,0.9953,7.36e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,5700,0.1867776,1.5956,0.6884,0.1654,1.0012,7.49e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,5800,0.1900544,1.5825,0.6853,0.1827,0.9953,7.61e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,5900,0.1933312,1.5882,0.6882,0.1754,0.9965,7.74e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,6000,0.196608,1.5944,0.6946,0.1706,0.9972,7.89e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,6100,0.1998848,1.6039,0.6995,0.1698,1.0037,8.01e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,6200,0.2031616,1.5982,0.6945,0.1743,1.0,8.14e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,6300,0.2064384,1.5902,0.688,0.1701,0.9989,8.27e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,6400,0.2097152,1.5895,0.6921,0.1775,0.9986,8.41e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,6500,0.212992,1.5936,0.6922,0.1703,0.9968,8.54e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,6600,0.2162688,1.5896,0.701,0.1733,0.9943,8.67e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,6700,0.2195456,1.5884,0.6851,0.1711,0.9964,8.79e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,6800,0.2228224,1.5943,0.6888,0.1742,1.0014,8.94e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,6900,0.2260992,1.5872,0.6918,0.1764,1.0004,9.07e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,7000,0.229376,1.5894,0.6866,0.1821,0.9969,9.19e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,7100,0.2326528,1.5868,0.691,0.1771,0.9947,9.32e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,7200,0.2359296,1.5922,0.6871,0.1737,0.9983,9.47e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,7300,0.2392064,1.5953,0.6887,0.1667,1.0048,9.59e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,7400,0.2424832,1.592,0.6879,0.1672,0.9982,9.72e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,7500,0.24576,1.5869,0.6892,0.1651,0.9964,9.84e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,7600,0.2490368,1.5779,0.6914,0.1717,0.9865,9.99e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,7700,0.2523136,1.5897,0.6898,0.1643,0.9959,0.000101,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,7800,0.2555904,1.5951,0.6908,0.1677,0.9989,0.000102,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,7900,0.2588672,1.592,0.6876,0.17,0.998,0.000104,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,8000,0.262144,1.5814,0.6866,0.17,0.9941,0.000105,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,8100,0.2654208,1.5962,0.6918,0.1674,0.9959,0.000106,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,8200,0.2686976,1.5844,0.6825,0.1711,0.9995,0.000108,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,8300,0.2719744,1.5793,0.6855,0.1727,0.9916,0.000109,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,8400,0.2752512,1.5911,0.6895,0.1676,0.9946,0.00011,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,8500,0.278528,1.5877,0.6955,0.1704,0.9887,0.000112,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,8600,0.2818048,1.5853,0.6855,0.1692,0.9938,0.000113,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,8700,0.2850816,1.5808,0.6863,0.1705,0.9929,0.000114,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,8800,0.2883584,1.5802,0.6895,0.1786,0.9922,0.000116,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,8900,0.2916352,1.59,0.6926,0.1674,0.9919,0.000117,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
