model,step,tokens_b,loss,l2,ce,plan,lr,sps,log_path
ordered,105600,3.4603008,0.8279,0.664,0.1762,0.2517,0.00139,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,105700,3.4635776,0.8378,0.6627,0.1683,0.2607,0.00139,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,105800,3.4668544,0.8352,0.6667,0.1719,0.2629,0.00139,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,105900,3.4701312,0.8155,0.6583,0.1761,0.2528,0.00139,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,106000,3.473408,0.8181,0.6591,0.1702,0.2519,0.00139,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,106100,3.4766848,0.8296,0.6599,0.1742,0.2586,0.00139,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,106200,3.4799616,0.8288,0.6618,0.1759,0.2572,0.0014,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,106300,3.4832384,0.8245,0.6597,0.1752,0.2541,0.0014,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,106400,3.4865152,0.8315,0.6575,0.1682,0.2653,0.0014,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,106500,3.489792,0.8289,0.6671,0.1792,0.2558,0.0014,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,106600,3.4930688,0.8323,0.6594,0.1689,0.2641,0.0014,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,106700,3.4963456,0.828,0.6635,0.1607,0.2606,0.0014,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,106800,3.4996224,0.8281,0.6567,0.1696,0.2583,0.0014,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,106900,3.5028992,0.8224,0.6587,0.1718,0.2566,0.00141,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,107000,3.506176,0.8106,0.6567,0.1693,0.2478,0.00141,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,107100,3.5094528,0.8176,0.6608,0.1752,0.2498,0.00141,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,107200,3.5127296,0.8257,0.6586,0.175,0.2568,0.00141,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,107300,3.5160064,0.8024,0.6553,0.1754,0.2452,0.00141,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,107400,3.5192832,0.8327,0.6594,0.1709,0.2599,0.00141,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,107500,3.52256,0.8232,0.6636,0.1713,0.2528,0.00141,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,107600,3.5258368,0.8164,0.6617,0.173,0.2514,0.00141,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,107700,3.5291136,0.8159,0.6603,0.1695,0.2533,0.00142,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,107800,3.5323904,0.8287,0.6613,0.1696,0.2584,0.00142,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,107900,3.5356672,0.8199,0.6595,0.1598,0.2554,0.00142,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,108000,3.538944,0.812,0.6544,0.1665,0.2498,0.00142,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,108100,3.5422208,0.819,0.6604,0.1725,0.2541,0.00142,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,108200,3.5454976,0.8223,0.6595,0.1617,0.2521,0.00142,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,108300,3.5487744,0.826,0.6619,0.1704,0.2536,0.00142,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,108400,3.5520512,0.8262,0.6566,0.1714,0.2583,0.00143,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,108500,3.555328,0.8197,0.6586,0.1737,0.253,0.00143,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,108600,3.5586048,0.8155,0.6579,0.1753,0.2489,0.00143,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,108700,3.5618816,0.829,0.6594,0.1699,0.2583,0.00143,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,108800,3.5651584,0.8323,0.6619,0.1668,0.2582,0.00143,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,108900,3.5684352,0.8191,0.6597,0.1587,0.2521,0.00143,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,109000,3.571712,0.8128,0.6565,0.1702,0.2468,0.00143,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,109100,3.5749888,0.8324,0.6609,0.1671,0.2603,0.00143,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,109200,3.5782656,0.8162,0.6558,0.1623,0.2561,0.00144,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,109300,3.5815424,0.8227,0.6628,0.1638,0.2579,0.00144,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,109400,3.5848192,0.8281,0.6596,0.1652,0.2586,0.00144,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,109500,3.588096,0.8268,0.6622,0.1674,0.256,0.00144,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,109600,3.5913728,0.8218,0.6582,0.17,0.2568,0.00144,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,109700,3.5946496,0.8197,0.6601,0.1686,0.2572,0.00144,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,109800,3.5979264,0.8178,0.6536,0.164,0.2528,0.00144,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,109900,3.6012032,0.8181,0.6551,0.1711,0.2521,0.00144,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,110000,3.60448,0.8364,0.6616,0.1681,0.263,0.00145,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,110100,3.6077568,0.8138,0.6564,0.1656,0.2473,0.00145,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,110200,3.6110336,0.8233,0.6617,0.1632,0.2585,0.00145,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,110300,3.6143104,0.8195,0.6574,0.1664,0.2547,0.00145,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,110400,3.6175872,0.8298,0.6629,0.1662,0.2569,0.00145,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,110500,3.620864,0.8127,0.6545,0.1636,0.2495,0.00145,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,110600,3.6241408,0.8165,0.657,0.1663,0.2534,0.00145,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,110700,3.6274176,0.8297,0.657,0.1612,0.2613,0.00146,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,110800,3.6306944,0.8258,0.6602,0.1644,0.2585,0.00146,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,110900,3.6339712,0.8176,0.6556,0.1649,0.2541,0.00146,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,111000,3.637248,0.8282,0.6623,0.1641,0.2592,0.00146,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,111100,3.6405248,0.8259,0.6558,0.1677,0.2593,0.00146,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,111200,3.6438016,0.8277,0.6606,0.172,0.2568,0.00146,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,111300,3.6470784,0.8207,0.6582,0.1603,0.2523,0.00146,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,111400,3.6503552,0.8131,0.6563,0.1662,0.2541,0.00146,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,111500,3.653632,0.829,0.6589,0.1642,0.2563,0.00147,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,111600,3.6569088,0.8258,0.6565,0.1567,0.2536,0.00147,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,111700,3.6601856,0.8249,0.6605,0.1655,0.261,0.00147,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,111800,3.6634624,0.8306,0.6654,0.1598,0.2566,0.00147,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,111900,3.6667392,0.8074,0.6545,0.1761,0.2507,0.00147,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,112000,3.670016,0.8153,0.6525,0.1598,0.2512,0.00147,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,112100,3.6732928,0.8209,0.6619,0.1697,0.2497,0.00147,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,112200,3.6765696,0.8152,0.6584,0.1666,0.2495,0.00147,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,112300,3.6798464,0.8307,0.6597,0.1595,0.2582,0.00148,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,112400,3.6831232,0.8231,0.6562,0.1644,0.2541,0.00148,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,112500,3.6864,0.8195,0.6565,0.1658,0.2556,0.00148,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,112600,3.6896768,0.8149,0.6575,0.1617,0.2511,0.00148,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,112700,3.6929536,0.8296,0.6585,0.1634,0.2612,0.00148,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,112800,3.6962304,0.8236,0.6594,0.1637,0.2565,0.00148,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,112900,3.6995072,0.8199,0.6598,0.1623,0.2546,0.00148,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,113000,3.702784,0.8202,0.654,0.1642,0.2568,0.00149,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,113100,3.7060608,0.8118,0.6528,0.1732,0.2518,0.00149,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,113200,3.7093376,0.8153,0.6537,0.1679,0.2565,0.00149,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,113300,3.7126144,0.8325,0.662,0.1649,0.267,0.00149,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,113400,3.7158912,0.8141,0.6603,0.1694,0.257,0.00149,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,113500,3.719168,0.8215,0.6629,0.1708,0.2553,0.00149,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,113600,3.7224448,0.8113,0.6525,0.1619,0.2489,0.00149,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,113700,3.7257216,0.8245,0.6588,0.1666,0.2547,0.00149,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,113800,3.7289984,0.8168,0.656,0.1652,0.2524,0.0015,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,113900,3.7322752,0.8111,0.6563,0.1675,0.251,0.0015,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,114000,3.735552,0.8272,0.6604,0.1584,0.2591,0.0015,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,114100,3.7388288,0.8205,0.6609,0.1585,0.2513,0.0015,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,114200,3.7421056,0.8208,0.6599,0.1691,0.2575,0.0015,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,114300,3.7453824,0.8251,0.6624,0.1649,0.2592,0.0015,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,114400,3.7486592,0.8303,0.6584,0.1607,0.2595,0.0015,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,114500,3.751936,0.8156,0.6574,0.1639,0.2525,0.00151,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,114600,3.7552128,0.8243,0.6565,0.1597,0.2576,0.00151,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,114700,3.7584896,0.8237,0.658,0.1679,0.2605,0.00151,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,114800,3.7617664,0.8199,0.6576,0.161,0.2501,0.00151,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,114900,3.7650432,0.8141,0.6544,0.1627,0.2541,0.00151,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,115000,3.76832,0.8164,0.655,0.1624,0.2548,0.00151,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,115100,3.7715968,0.8185,0.6535,0.1628,0.2559,0.00151,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,115200,3.7748736,0.8146,0.6596,0.1565,0.2489,0.00151,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,115300,3.7781504,0.8101,0.6553,0.1644,0.2512,0.00152,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,115400,3.7814272,0.8193,0.658,0.1668,0.2562,0.00152,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,115500,3.784704,0.8256,0.6591,0.1617,0.2578,0.00152,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,115600,3.7879808,0.8178,0.6551,0.1613,0.2556,0.00152,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,115700,3.7912576,0.8178,0.6562,0.1639,0.2526,0.00152,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,115800,3.7945344,0.8093,0.6539,0.1644,0.2487,0.00152,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,115900,3.7978112,0.8124,0.6558,0.1701,0.2549,0.00152,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,116000,3.801088,0.8245,0.6545,0.1575,0.2554,0.00153,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,116100,3.8043648,0.8148,0.6558,0.1689,0.2524,0.00153,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,116200,3.8076416,0.8295,0.6614,0.1677,0.2641,0.00153,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,116300,3.8109184,0.7955,0.6506,0.1628,0.2385,0.00153,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,116400,3.8141952,0.8114,0.6548,0.1571,0.2506,0.00153,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,116500,3.817472,0.8131,0.6589,0.1675,0.2545,0.00153,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,116600,3.8207488,0.8096,0.6567,0.164,0.2535,0.00153,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,116700,3.8240256,0.8217,0.6577,0.1622,0.2583,0.00153,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,116800,3.8273024,0.8109,0.6609,0.1582,0.2502,0.00154,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,116900,3.8305792,0.8232,0.6595,0.1566,0.2536,0.00154,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,117000,3.833856,0.8232,0.6562,0.1572,0.2533,0.00154,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,117100,3.8371328,0.8215,0.6624,0.1669,0.2586,0.00154,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,117200,3.8404096,0.8166,0.6593,0.1653,0.2523,0.00154,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,117300,3.8436864,0.8191,0.6567,0.1594,0.2567,0.00154,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,117400,3.8469632,0.8208,0.6608,0.1611,0.2572,0.00154,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,117500,3.85024,0.818,0.6498,0.1588,0.2555,0.00154,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,117600,3.8535168,0.8222,0.6586,0.1608,0.2573,0.00155,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,117700,3.8567936,0.8268,0.6578,0.1583,0.2617,0.00155,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,117800,3.8600704,0.816,0.6568,0.1622,0.2508,0.00155,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,117900,3.8633472,0.8299,0.6578,0.1578,0.2609,0.00155,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,118000,3.866624,0.8173,0.6584,0.1659,0.2519,0.00155,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,118100,3.8699008,0.8154,0.6555,0.1662,0.2581,0.00155,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,118200,3.8731776,0.8152,0.6549,0.1635,0.2534,0.00155,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,118300,3.8764544,0.8252,0.6587,0.1561,0.2571,0.00156,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,118400,3.8797312,0.8153,0.6538,0.1556,0.2556,0.00156,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,118500,3.883008,0.8083,0.6518,0.1606,0.2454,0.00156,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,118600,3.8862848,0.8171,0.6581,0.161,0.2544,0.00156,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,118700,3.8895616,0.8096,0.6554,0.1619,0.2486,0.00156,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,118800,3.8928384,0.8289,0.659,0.16,0.2596,0.00156,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,118900,3.8961152,0.8242,0.6574,0.1639,0.2567,0.00156,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,119000,3.899392,0.8083,0.652,0.1607,0.2518,0.00156,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,119100,3.9026688,0.8209,0.6553,0.1572,0.2552,0.00157,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,119200,3.9059456,0.8162,0.6545,0.1609,0.2553,0.00157,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,119300,3.9092224,0.8093,0.6524,0.1561,0.2495,0.00157,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,119400,3.9124992,0.8173,0.654,0.1598,0.2581,0.00157,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,119500,3.915776,0.8263,0.6581,0.1525,0.2562,0.00157,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,119600,3.9190528,0.8048,0.6511,0.1561,0.2483,0.00157,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,119700,3.9223296,0.8142,0.656,0.1573,0.2536,0.00157,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,119800,3.9256064,0.8185,0.6559,0.1539,0.2536,0.00157,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,119900,3.9288832,0.8122,0.6523,0.159,0.251,0.00158,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,120000,3.93216,0.8041,0.6558,0.1535,0.2459,0.00158,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,120100,3.9354368,0.8168,0.6569,0.1627,0.2569,0.00158,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,120200,3.9387136,0.8106,0.654,0.1636,0.2557,0.00158,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,120300,3.9419904,0.8187,0.6566,0.1629,0.2534,0.00158,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,120400,3.9452672,0.8248,0.6587,0.1607,0.2539,0.00158,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,120500,3.948544,0.8129,0.6576,0.1647,0.2502,0.00158,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,120600,3.9518208,0.8269,0.6591,0.1612,0.2609,0.00159,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,120700,3.9550976,0.8217,0.657,0.1582,0.2556,0.00159,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,120800,3.9583744,0.8107,0.6518,0.1558,0.25,0.00159,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,120900,3.9616512,0.8163,0.6584,0.1569,0.251,0.00159,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,121000,3.964928,0.817,0.6607,0.1684,0.2545,0.00159,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,121100,3.9682048,0.8152,0.6546,0.1539,0.2514,0.00159,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,121200,3.9714816,0.8176,0.6571,0.154,0.2545,0.00159,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,121300,3.9747584,0.8228,0.6533,0.1478,0.2541,0.00159,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,121400,3.9780352,0.8068,0.6554,0.1641,0.2518,0.0016,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,121500,3.981312,0.8189,0.6603,0.1609,0.2562,0.0016,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,121600,3.9845888,0.823,0.658,0.1618,0.2623,0.0016,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,121700,3.9878656,0.8099,0.6531,0.155,0.2446,0.0016,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,121800,3.9911424,0.8102,0.6507,0.1586,0.2528,0.0016,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,121900,3.9944192,0.8026,0.6501,0.1618,0.2476,0.0016,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,122000,3.997696,0.8122,0.6549,0.1575,0.2522,0.0016,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,122100,4.0009728,0.8192,0.659,0.1558,0.2534,0.00161,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,122200,4.0042496,0.8075,0.6479,0.1607,0.2543,0.00161,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,122300,4.0075264,0.81,0.6545,0.1632,0.2515,0.00161,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,122400,4.0108032,0.8099,0.6537,0.1468,0.248,0.00161,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,122500,4.01408,0.8137,0.6515,0.1552,0.2559,0.00161,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,122600,4.0173568,0.8113,0.6508,0.1558,0.2509,0.00161,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,122700,4.0206336,0.8066,0.6518,0.1644,0.2499,0.00161,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,122800,4.0239104,0.7976,0.6468,0.1582,0.2454,0.00161,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,122900,4.0271872,0.8042,0.654,0.1671,0.2519,0.00162,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,123000,4.030464,0.8186,0.654,0.15,0.2547,0.00162,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,123100,4.0337408,0.8109,0.65,0.1573,0.2536,0.00162,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,123200,4.0370176,0.8157,0.6556,0.1551,0.2517,0.00162,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,123300,4.0402944,0.8196,0.6568,0.1598,0.258,0.00162,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,123400,4.0435712,0.8139,0.6548,0.1552,0.2504,0.00162,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,123500,4.046848,0.8125,0.6503,0.1433,0.2469,0.00162,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,123600,4.0501248,0.8142,0.6526,0.1512,0.2535,0.00162,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,123700,4.0534016,0.8137,0.656,0.155,0.2515,0.00163,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,123800,4.0566784,0.8165,0.6578,0.1569,0.2481,0.00163,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,123900,4.0599552,0.8104,0.6571,0.1589,0.252,0.00163,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,124000,4.063232,0.8069,0.6514,0.1531,0.2479,0.00163,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,124100,4.0665088,0.8099,0.6504,0.1591,0.2509,0.00163,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,124200,4.0697856,0.8187,0.6535,0.1539,0.2542,0.00163,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,124300,4.0730624,0.8029,0.6497,0.158,0.247,0.00163,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,124400,4.0763392,0.8028,0.6498,0.1581,0.2458,0.00164,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,124500,4.079616,0.8045,0.6517,0.1589,0.248,0.00164,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,124600,4.0828928,0.8156,0.6559,0.1605,0.2514,0.00164,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,124700,4.0861696,0.8131,0.6558,0.1549,0.2543,0.00164,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,124800,4.0894464,0.8061,0.6517,0.1599,0.2469,0.00164,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,124900,4.0927232,0.813,0.6536,0.1525,0.2513,0.00164,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,125000,4.096,0.8192,0.658,0.1592,0.2549,0.00164,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,125100,4.0992768,0.8154,0.6576,0.1538,0.2539,0.00164,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,125200,4.1025536,0.8142,0.6543,0.1615,0.2532,0.00165,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,125300,4.1058304,0.806,0.6526,0.1589,0.2443,0.00165,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,125400,4.1091072,0.8124,0.6548,0.1524,0.2496,0.00165,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,125500,4.112384,0.8156,0.6543,0.1558,0.2509,0.00165,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,125600,4.1156608,0.8147,0.6552,0.1577,0.2519,0.00165,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,125700,4.1189376,0.82,0.657,0.1568,0.2549,0.00165,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,125800,4.1222144,0.8194,0.6583,0.1494,0.2547,0.00165,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,125900,4.1254912,0.8195,0.6576,0.1545,0.2566,0.00166,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
