step,loss,l2,ce,plan,lr,sps
43600,0.9581,0.6892,0.1797,0.3687,0.000573,3.2
43700,0.9611,0.6959,0.1764,0.3661,0.000574,3.3
43800,0.9476,0.685,0.1723,0.3542,0.000576,3.2
43900,0.9573,0.6853,0.1768,0.369,0.000577,3.3
44000,0.9536,0.6908,0.1846,0.3597,0.000578,3.3
44100,0.9592,0.696,0.1746,0.3612,0.00058,3.3
44200,0.9569,0.6853,0.1827,0.3673,0.000581,3.3
44300,0.945,0.687,0.1752,0.3559,0.000582,3.3
44400,0.9557,0.6881,0.1767,0.3635,0.000584,3.2
44500,0.9697,0.6912,0.1787,0.37,0.000585,3.3
44600,0.9542,0.6918,0.1744,0.3596,0.000586,3.3
44700,0.9574,0.693,0.1736,0.3601,0.000588,3.3
44800,0.9567,0.6939,0.1691,0.3596,0.000589,3.3
44900,0.9696,0.6927,0.1795,0.3693,0.00059,3.3
45000,0.9558,0.6908,0.1815,0.3608,0.000592,3.2
45100,0.9576,0.6922,0.1735,0.361,0.000593,3.3
45200,0.9376,0.691,0.1788,0.3454,0.000594,3.3
45300,0.9427,0.6928,0.1739,0.3475,0.000595,3.3
45400,0.9552,0.6961,0.1768,0.3579,0.000597,3.3
45500,0.9416,0.6913,0.1766,0.3466,0.000598,3.2
45600,0.936,0.6847,0.1831,0.3484,0.000599,3.2
45700,0.9557,0.6923,0.1793,0.3584,0.000601,3.3
45800,0.9473,0.6966,0.1752,0.3483,0.000602,3.3
45900,0.9515,0.6945,0.1754,0.3509,0.000603,3.3
46000,0.9491,0.6924,0.1819,0.3522,0.000605,3.2
46100,0.9449,0.6938,0.1733,0.3516,0.000606,3.3
46200,0.9403,0.6928,0.1864,0.3491,0.000607,3.2
46300,0.9447,0.6913,0.1761,0.35,0.000609,3.3
46400,0.9361,0.6843,0.1709,0.3448,0.00061,3.3
46500,0.946,0.6914,0.1781,0.3479,0.000611,3.2
46600,0.9401,0.6939,0.1834,0.3465,0.000613,3.3
46700,0.9484,0.6925,0.1767,0.352,0.000614,3.2
46800,0.9396,0.6876,0.1758,0.3453,0.000615,3.3
46900,0.9525,0.693,0.1804,0.3561,0.000617,3.3
47000,0.9448,0.6927,0.1743,0.3459,0.000618,3.3
47100,0.9462,0.6881,0.1797,0.3497,0.000619,3.3
47200,0.9366,0.6914,0.1775,0.3418,0.000621,3.2
47300,0.933,0.6906,0.1817,0.3425,0.000622,3.3
47400,0.945,0.6939,0.1759,0.3451,0.000623,3.3
47500,0.9528,0.6929,0.1795,0.357,0.000624,3.2
47600,0.9359,0.6908,0.1809,0.3387,0.000626,3.2
47700,0.9336,0.6867,0.1725,0.3389,0.000627,3.2
47800,0.938,0.6928,0.1767,0.3404,0.000628,3.3
47900,0.9325,0.6929,0.1726,0.3388,0.00063,3.2
48000,0.9263,0.6868,0.183,0.3332,0.000631,3.3
48100,0.937,0.6892,0.1731,0.3398,0.000632,3.3
48200,0.9248,0.6892,0.1735,0.335,0.000634,3.3
48300,0.9401,0.6934,0.1736,0.3404,0.000635,3.3
48400,0.9405,0.6939,0.1791,0.3437,0.000636,3.2
48500,0.9318,0.6947,0.1776,0.3377,0.000638,3.2
48600,0.9433,0.6945,0.1829,0.3421,0.000639,3.2
48700,0.9263,0.6907,0.1826,0.3374,0.00064,3.3
48800,0.9451,0.6967,0.1738,0.3355,0.000642,3.3
48900,0.9352,0.6908,0.1721,0.3401,0.000643,3.3
49000,0.9271,0.6896,0.1922,0.3362,0.000644,3.2
49100,0.9315,0.6932,0.1845,0.3378,0.000645,3.2
49200,0.935,0.6931,0.178,0.3365,0.000647,3.2
49300,0.9257,0.6936,0.1866,0.3312,0.000648,3.3
49400,0.9275,0.6884,0.1803,0.3331,0.000649,3.2
49500,0.9216,0.6942,0.1813,0.3302,0.000651,3.3
49600,0.9373,0.6902,0.1663,0.3316,0.000652,3.3
49700,0.9149,0.6851,0.1762,0.3219,0.000653,3.3
49800,0.9291,0.6898,0.1804,0.3332,0.000655,3.2
49900,0.9168,0.685,0.1768,0.3231,0.000656,3.2
50000,0.9302,0.6944,0.1832,0.3368,0.000657,3.3
50100,0.9404,0.6949,0.1759,0.3385,0.000659,3.2
50200,0.9309,0.6953,0.176,0.3307,0.00066,3.2
50300,0.9281,0.6916,0.1791,0.3299,0.000661,3.3
50400,0.9174,0.694,0.1771,0.3239,0.000663,3.3
50500,0.9304,0.6954,0.1915,0.3323,0.000664,3.2
50600,0.9152,0.6857,0.1837,0.327,0.000665,3.2
50700,0.918,0.6896,0.1747,0.3233,0.000666,3.3
50800,0.9407,0.6993,0.1743,0.3411,0.000668,3.2
50900,0.9186,0.6906,0.1829,0.3256,0.000669,3.2
51000,0.9119,0.6928,0.1778,0.3215,0.00067,3.3
51100,0.9243,0.6909,0.1783,0.3289,0.000672,3.3
51200,0.9295,0.6893,0.1767,0.3326,0.000673,3.3
51300,0.9158,0.6872,0.1729,0.3212,0.000674,3.3
51400,0.9205,0.6941,0.1796,0.3205,0.000676,3.2
51500,0.921,0.6874,0.1779,0.3254,0.000677,3.3
51600,0.9145,0.6913,0.1746,0.3208,0.000678,3.3
51700,0.9283,0.6926,0.1762,0.3299,0.00068,3.2
51800,0.9165,0.6904,0.1848,0.329,0.000681,3.3
51900,0.9237,0.691,0.1735,0.3246,0.000682,3.3
52000,0.9252,0.6938,0.1794,0.3298,0.000684,3.3
52100,0.9118,0.6908,0.1776,0.3187,0.000685,3.2
52200,0.9186,0.6886,0.1793,0.326,0.000686,3.2
52300,0.9267,0.6964,0.1793,0.3268,0.000687,3.2
52400,0.9227,0.6957,0.1793,0.3214,0.000689,3.2
52500,0.9233,0.6925,0.1726,0.3282,0.00069,3.2
52600,0.9132,0.6913,0.1798,0.3179,0.000691,3.3
52700,0.9079,0.6866,0.1786,0.3189,0.000693,3.3
52800,0.9101,0.6951,0.1752,0.3195,0.000694,3.2
52900,0.9119,0.6907,0.1772,0.3232,0.000695,3.2
53000,0.9117,0.6898,0.1847,0.3231,0.000697,3.3
53100,0.9169,0.6901,0.173,0.3209,0.000698,3.2
53200,0.9173,0.6847,0.1697,0.3226,0.000699,3.3
53300,0.9169,0.6884,0.1808,0.3211,0.000701,3.3
53400,0.9067,0.6894,0.1828,0.3147,0.000702,3.2
53500,0.9079,0.6868,0.1816,0.3195,0.000703,3.2
53600,0.9123,0.6935,0.1777,0.3161,0.000705,3.2
53700,0.9064,0.6927,0.1892,0.317,0.000706,3.3
53800,0.9124,0.6882,0.1781,0.3123,0.000707,3.3
53900,0.9155,0.6913,0.1805,0.3205,0.000708,3.3
54000,0.9174,0.6934,0.1836,0.3196,0.00071,3.2
54100,0.8995,0.6883,0.1815,0.311,0.000711,3.2
54200,0.9178,0.6893,0.1746,0.3233,0.000712,3.2
54300,0.9041,0.6895,0.1843,0.3094,0.000714,3.3
54400,0.9054,0.6887,0.1813,0.3137,0.000715,3.2
54500,0.9052,0.6925,0.1818,0.3142,0.000716,3.2
54600,0.9077,0.6879,0.1749,0.3154,0.000718,3.3
54700,0.9156,0.6959,0.1804,0.3185,0.000719,3.3
54800,0.913,0.6942,0.1714,0.313,0.00072,3.3
54900,0.9038,0.6908,0.1895,0.3108,0.000722,3.2
55000,0.9127,0.6917,0.1761,0.3112,0.000723,3.3
55100,0.907,0.6939,0.1863,0.3127,0.000724,3.3
55200,0.9156,0.6921,0.1796,0.3171,0.000726,3.2
55300,0.9093,0.6899,0.1866,0.3138,0.000727,3.3
55400,0.9074,0.6923,0.1749,0.3085,0.000728,3.3
55500,0.9053,0.6897,0.1765,0.3079,0.000729,3.3
55600,0.9059,0.6895,0.1806,0.3153,0.000731,3.3
55700,0.9189,0.6943,0.1895,0.3223,0.000732,3.3
55800,0.9065,0.6866,0.1702,0.3133,0.000733,3.3
55900,0.9082,0.6915,0.1753,0.3137,0.000735,3.3
56000,0.8975,0.6905,0.1824,0.3084,0.000736,3.3
56100,0.9083,0.6937,0.1764,0.3115,0.000737,3.3
56200,0.9036,0.6921,0.1817,0.3132,0.000739,3.2
56300,0.8981,0.6897,0.181,0.3108,0.00074,3.3
56400,0.9076,0.6893,0.1754,0.3132,0.000741,3.2
56500,0.9055,0.6918,0.178,0.3088,0.000743,3.2
56600,0.9029,0.6868,0.1792,0.3071,0.000744,3.2
56700,0.8958,0.6878,0.1748,0.3062,0.000745,3.3
56800,0.8907,0.6828,0.1818,0.3055,0.000747,3.3
56900,0.9028,0.6923,0.1742,0.3087,0.000748,3.2
57000,0.8998,0.683,0.173,0.3061,0.000749,3.3
57100,0.9076,0.6942,0.183,0.3092,0.000751,3.2
57200,0.9043,0.69,0.1731,0.31,0.000752,3.2
57300,0.8982,0.6897,0.1834,0.3051,0.000753,3.3
57400,0.9026,0.6879,0.1791,0.3031,0.000755,3.2
57500,0.9073,0.6944,0.1766,0.3078,0.000756,3.3
57600,0.9043,0.6861,0.174,0.3111,0.000757,3.2
57700,0.9073,0.6911,0.1801,0.3065,0.000759,3.3
57800,0.8942,0.6932,0.1818,0.2969,0.00076,3.3
57900,0.9031,0.6898,0.1819,0.3018,0.000761,3.3
58000,0.8997,0.6936,0.1818,0.3028,0.000763,3.3
58100,0.8985,0.6877,0.18,0.3053,0.000764,3.3
58200,0.9075,0.6932,0.1813,0.3104,0.000765,3.2
58300,0.9061,0.6844,0.1751,0.3078,0.000766,3.3
58400,0.892,0.6948,0.1853,0.2995,0.000768,3.2
58500,0.8931,0.688,0.1792,0.3019,0.000769,3.3
58600,0.8926,0.6864,0.1857,0.3049,0.00077,3.3
58700,0.8911,0.6869,0.1835,0.3009,0.000772,3.2
58800,0.8918,0.6899,0.1814,0.3006,0.000773,3.3
58900,0.8962,0.6887,0.1742,0.3017,0.000774,3.3
59000,0.8972,0.6897,0.187,0.3039,0.000776,3.3
59100,0.8947,0.6904,0.1767,0.2983,0.000777,3.3
59200,0.8948,0.6887,0.1894,0.2979,0.000778,3.3
59300,0.8935,0.6914,0.1821,0.2997,0.00078,3.3
59400,0.9012,0.6912,0.1858,0.3068,0.000781,3.3
59500,0.8947,0.6894,0.1725,0.3001,0.000782,3.3
59600,0.8924,0.6918,0.1862,0.3037,0.000784,3.2
59700,0.8989,0.6913,0.1739,0.301,0.000785,3.2
59800,0.8999,0.6947,0.18,0.3042,0.000786,3.3
59900,0.8948,0.6922,0.177,0.3006,0.000787,3.3
60000,0.888,0.6895,0.1742,0.2949,0.000789,3.2
60100,0.8914,0.6884,0.1724,0.2951,0.00079,3.3
60200,0.8819,0.6863,0.1806,0.2903,0.000791,3.3
60300,0.9019,0.6885,0.1746,0.3016,0.000793,3.3
60400,0.8902,0.6862,0.1835,0.2991,0.000794,3.3
60500,0.8942,0.6881,0.1838,0.2991,0.000795,3.3
60600,0.8969,0.6843,0.1789,0.3012,0.000797,3.3
60700,0.8925,0.6901,0.1828,0.2949,0.000798,3.3
60800,0.8835,0.685,0.181,0.2911,0.000799,3.3
60900,0.9006,0.6907,0.1823,0.3039,0.000801,3.3
61000,0.8917,0.6851,0.1789,0.2992,0.000802,3.3
61100,0.8893,0.6882,0.1858,0.2936,0.000803,3.3
61200,0.9099,0.6974,0.1767,0.3088,0.000805,3.3
61300,0.8916,0.6863,0.1792,0.2965,0.000806,3.3
61400,0.893,0.6899,0.1818,0.2955,0.000807,3.2
61500,0.8857,0.688,0.1724,0.2909,0.000808,3.2
61600,0.8964,0.692,0.1851,0.3031,0.00081,3.3
61700,0.8903,0.6886,0.1827,0.299,0.000811,3.3
61800,0.8891,0.6872,0.1743,0.2954,0.000812,3.3
61900,0.8851,0.6911,0.1773,0.2921,0.000814,3.3
62000,0.8854,0.6857,0.183,0.295,0.000815,3.2
62100,0.8786,0.6837,0.1822,0.2944,0.000816,3.3
62200,0.8903,0.6915,0.1821,0.2954,0.000818,3.2
62300,0.9047,0.6919,0.1831,0.3024,0.000819,3.3
62400,0.8891,0.6849,0.1825,0.2918,0.00082,3.2
62500,0.8937,0.6876,0.1824,0.298,0.000822,3.3
62600,0.8879,0.6925,0.1864,0.296,0.000823,3.3
62700,0.8965,0.695,0.1814,0.296,0.000824,3.3
62800,0.8897,0.687,0.1854,0.2961,0.000826,3.3
62900,0.8884,0.689,0.1896,0.2953,0.000827,3.2
63000,0.8949,0.6925,0.1821,0.2914,0.000828,3.3
63100,0.885,0.6897,0.1906,0.2977,0.000829,3.2
63200,0.886,0.6886,0.1774,0.2906,0.000831,3.2
63300,0.8891,0.6935,0.1797,0.2964,0.000832,3.3
63400,0.8934,0.692,0.1819,0.2941,0.000833,3.2
63500,0.8922,0.69,0.1794,0.295,0.000835,3.3
63600,0.8855,0.683,0.1798,0.2934,0.000836,3.2
63700,0.8872,0.6861,0.1743,0.2907,0.000837,3.3
63800,0.888,0.688,0.1931,0.2945,0.000839,3.3
63900,0.896,0.6961,0.1828,0.2923,0.00084,3.3
64000,0.8901,0.6894,0.174,0.291,0.000841,3.3
64100,0.8946,0.6931,0.1792,0.2958,0.000843,3.3
64200,0.8795,0.6879,0.1806,0.2855,0.000844,3.3
64300,0.8831,0.6831,0.1763,0.2892,0.000845,3.3
64400,0.8846,0.6855,0.1752,0.2903,0.000847,3.2
64500,0.8839,0.6901,0.1761,0.2909,0.000848,3.2
64600,0.8919,0.6901,0.1812,0.2926,0.000849,3.3
64700,0.8782,0.6875,0.1841,0.2903,0.00085,3.3
64800,0.8767,0.6856,0.1793,0.2861,0.000852,3.3
64900,0.8757,0.689,0.1825,0.2897,0.000853,3.3
65000,0.8707,0.6811,0.1774,0.2831,0.000854,3.3
65100,0.8817,0.6898,0.1865,0.2869,0.000856,3.3
65200,0.8933,0.6885,0.1776,0.3004,0.000857,3.3
65300,0.8822,0.6873,0.1685,0.2865,0.000858,3.3
65400,0.8802,0.6837,0.1783,0.2905,0.00086,3.3
65500,0.8907,0.6897,0.1848,0.2906,0.000861,3.3
65600,0.8975,0.6909,0.18,0.2924,0.000862,3.2
65700,0.8873,0.69,0.1856,0.2874,0.000864,3.2
65800,0.8966,0.6891,0.1788,0.298,0.000865,3.3
65900,0.8754,0.687,0.1783,0.2874,0.000866,3.2
66000,0.8905,0.6933,0.1822,0.2949,0.000868,3.2
66100,0.8827,0.6891,0.1764,0.2893,0.000869,3.3
66200,0.8837,0.6873,0.1896,0.2899,0.00087,3.2
66300,0.884,0.6874,0.1734,0.2816,0.000871,3.2
66400,0.8792,0.6857,0.1781,0.2838,0.000873,3.3
66500,0.8842,0.6876,0.1843,0.2892,0.000874,3.3
66600,0.8828,0.6848,0.1847,0.2929,0.000875,3.3
66700,0.8854,0.6876,0.1802,0.2867,0.000877,3.2
66800,0.873,0.6853,0.1827,0.2841,0.000878,3.2
66900,0.8792,0.6897,0.1821,0.2886,0.000879,3.3
67000,0.8818,0.6884,0.1869,0.2861,0.000881,3.2
67100,0.8756,0.6836,0.1759,0.2831,0.000882,3.2
67200,0.8766,0.6877,0.1812,0.2849,0.000883,3.2
67300,0.8813,0.6849,0.1852,0.2903,0.000885,3.3
67400,0.8902,0.6911,0.1847,0.2913,0.000886,3.2
67500,0.8729,0.6909,0.1871,0.2862,0.000887,3.3
67600,0.8776,0.6872,0.1833,0.2843,0.000889,3.3
67700,0.8795,0.6883,0.1852,0.2881,0.00089,3.2
67800,0.8713,0.686,0.1854,0.2831,0.000891,3.3
67900,0.8731,0.6839,0.1853,0.285,0.000893,3.2
68000,0.8796,0.6913,0.1767,0.2858,0.000894,3.3
68100,0.8793,0.6836,0.1875,0.2891,0.000895,3.2
68200,0.8679,0.6885,0.1824,0.2776,0.000897,3.2
68300,0.8769,0.6871,0.1812,0.2872,0.000898,3.3
68400,0.8849,0.684,0.1759,0.2896,0.000899,3.3
68500,0.8861,0.6864,0.1828,0.292,0.000901,3.3
68600,0.8907,0.6947,0.1789,0.2864,0.000902,3.2
68700,0.8715,0.6889,0.1866,0.2809,0.000903,3.2
68800,0.8816,0.6866,0.1773,0.287,0.000905,3.3
68900,0.8693,0.6831,0.1862,0.284,0.000906,3.3
69000,0.8755,0.6879,0.1872,0.2868,0.000907,3.3
69100,0.8797,0.69,0.1859,0.2837,0.000908,3.2
69200,0.8804,0.6907,0.1777,0.2876,0.00091,3.3
69300,0.879,0.6884,0.1807,0.2872,0.000911,3.3
69400,0.8689,0.6838,0.1826,0.282,0.000912,3.3
69500,0.8899,0.6897,0.1817,0.2929,0.000914,3.2
69600,0.8769,0.6895,0.1751,0.2829,0.000915,3.2
69700,0.8737,0.6808,0.1814,0.2839,0.000916,3.2
69800,0.8806,0.6845,0.1817,0.2897,0.000918,3.3
69900,0.8943,0.6865,0.1761,0.2916,0.000919,3.3
70000,0.8705,0.6832,0.184,0.2813,0.00092,3.2
70100,0.8799,0.6859,0.1826,0.2827,0.000922,3.3
70200,0.8753,0.6888,0.1824,0.2796,0.000923,3.2
70300,0.8864,0.6896,0.1819,0.2866,0.000924,3.3
70400,0.8748,0.6904,0.1828,0.2828,0.000926,3.3
70500,0.8874,0.6919,0.1802,0.2871,0.000927,3.2
70600,0.8731,0.6871,0.1853,0.2763,0.000928,3.3
70700,0.8754,0.689,0.182,0.2849,0.000929,3.2
70800,0.8827,0.6861,0.1738,0.2872,0.000931,3.3
70900,0.8704,0.6892,0.1803,0.2771,0.000932,3.3
71000,0.8674,0.6848,0.1762,0.2802,0.000933,3.3
71100,0.8801,0.6889,0.1751,0.2812,0.000935,3.3
71200,0.8773,0.6822,0.1726,0.2858,0.000936,3.3
71300,0.8754,0.6838,0.173,0.2814,0.000937,3.3
71400,0.8723,0.6879,0.1875,0.2808,0.000939,3.3
71500,0.8662,0.6808,0.185,0.2805,0.00094,3.2
71600,0.8764,0.6889,0.1866,0.2831,0.000941,3.2
71700,0.8788,0.6866,0.1779,0.2807,0.000943,3.3
71800,0.8804,0.6904,0.1844,0.2899,0.000944,3.3
71900,0.8873,0.6887,0.1744,0.2907,0.000945,3.3
72000,0.8707,0.6834,0.1809,0.2773,0.000947,3.3
72100,0.8726,0.6863,0.1797,0.2753,0.000948,3.2
72200,0.8817,0.6883,0.1845,0.287,0.000949,3.2
72300,0.8732,0.687,0.1881,0.2818,0.00095,3.3
72400,0.8933,0.694,0.1807,0.2918,0.000952,3.3
72500,0.8748,0.6877,0.1856,0.2824,0.000953,3.3
72600,0.8744,0.6849,0.1836,0.2774,0.000954,3.3
72700,0.8651,0.6845,0.1855,0.276,0.000956,3.3
72800,0.8584,0.6834,0.1845,0.2688,0.000957,3.3
72900,0.8775,0.6919,0.1849,0.2785,0.000958,3.3
73000,0.8791,0.6849,0.1786,0.2816,0.00096,3.2
73100,0.8732,0.6868,0.1831,0.281,0.000961,3.2
73200,0.87,0.6875,0.1868,0.279,0.000962,3.2
73300,0.8748,0.6892,0.178,0.2811,0.000964,3.3
73400,0.8677,0.6861,0.187,0.2805,0.000965,3.3
73500,0.8789,0.6833,0.1813,0.2842,0.000966,3.2
73600,0.8811,0.6872,0.1846,0.286,0.000968,3.2
73700,0.8741,0.6847,0.1802,0.2839,0.000969,3.2
73800,0.8677,0.6851,0.1799,0.278,0.00097,3.3
73900,0.8659,0.683,0.1884,0.272,0.000971,3.2
74000,0.8823,0.6915,0.1821,0.2792,0.000973,3.3
74100,0.8819,0.6882,0.1796,0.283,0.000974,3.2
74200,0.8664,0.6815,0.1807,0.2805,0.000975,3.2
74300,0.8697,0.686,0.1842,0.2799,0.000977,3.3
74400,0.8668,0.6842,0.1792,0.2771,0.000978,3.2
74500,0.8711,0.6848,0.1809,0.2807,0.000979,3.3
74600,0.8662,0.6885,0.1849,0.2755,0.000981,3.3
74700,0.8818,0.6891,0.1791,0.2833,0.000982,3.2
74800,0.8673,0.6842,0.1818,0.2741,0.000983,3.2
74900,0.8812,0.69,0.1789,0.2847,0.000985,3.3
75000,0.8785,0.6876,0.1852,0.2798,0.000986,3.2
75100,0.8746,0.6896,0.1795,0.2799,0.000987,3.2
75200,0.8718,0.683,0.1902,0.2762,0.000989,3.2
75300,0.8764,0.6914,0.183,0.2804,0.00099,3.3
75400,0.8717,0.686,0.1836,0.2795,0.000991,3.2
75500,0.8689,0.6855,0.1787,0.2788,0.000992,3.2
75600,0.8727,0.6855,0.1874,0.2833,0.000994,3.3
75700,0.8772,0.6881,0.1808,0.2776,0.000995,3.3
75800,0.8552,0.6803,0.1843,0.2709,0.000996,3.3
75900,0.8623,0.6869,0.1779,0.2679,0.000998,3.3
76000,0.8668,0.6859,0.1895,0.2736,0.000999,3.3
76100,0.8649,0.6804,0.1891,0.2795,0.001,3.3
76200,0.8617,0.6873,0.1799,0.2739,0.001,3.3
76300,0.8602,0.685,0.1825,0.2736,0.001,3.3
76400,0.8639,0.6838,0.1758,0.2741,0.001,3.3
76500,0.8714,0.6814,0.1814,0.2786,0.00101,3.3
76600,0.8657,0.6856,0.1826,0.2755,0.00101,3.2
76700,0.8712,0.685,0.1815,0.2767,0.00101,3.3
76800,0.8686,0.6884,0.1814,0.2795,0.00101,3.3
76900,0.8827,0.6868,0.1701,0.2767,0.00101,3.3
77000,0.867,0.6837,0.1885,0.2776,0.00101,3.2
77100,0.8618,0.6833,0.181,0.2723,0.00101,3.2
77200,0.8688,0.6848,0.183,0.2777,0.00101,3.2
77300,0.8709,0.6866,0.1829,0.2785,0.00102,3.2
77400,0.8763,0.6889,0.184,0.2808,0.00102,3.3
77500,0.8672,0.6859,0.1799,0.2755,0.00102,3.3
77600,0.8727,0.6875,0.1815,0.273,0.00102,3.2
77700,0.864,0.6878,0.1774,0.2712,0.00102,3.3
77800,0.8755,0.689,0.1771,0.2725,0.00102,3.3
77900,0.869,0.6863,0.176,0.2793,0.00102,3.3
78000,0.8603,0.6819,0.1798,0.2669,0.00103,3.3
78100,0.8592,0.6804,0.1876,0.2718,0.00103,3.2
78200,0.8714,0.688,0.1805,0.2758,0.00103,3.3
78300,0.8587,0.6834,0.186,0.2758,0.00103,3.3
78400,0.8701,0.6885,0.1808,0.276,0.00103,3.3
78500,0.8637,0.6849,0.1852,0.2731,0.00103,3.3
78600,0.8668,0.6862,0.1878,0.2759,0.00103,3.3
78700,0.8712,0.688,0.1806,0.2764,0.00103,3.3
78800,0.867,0.6829,0.1866,0.2761,0.00104,3.3
78900,0.8757,0.6924,0.1892,0.28,0.00104,3.3
79000,0.8694,0.6916,0.182,0.2738,0.00104,3.3
79100,0.8758,0.6875,0.1742,0.2758,0.00104,3.3
79200,0.8512,0.6842,0.1913,0.2678,0.00104,3.3
79300,0.871,0.6866,0.1731,0.2768,0.00104,3.3
79400,0.8661,0.6877,0.1825,0.2741,0.00104,3.2
79500,0.8668,0.6836,0.1873,0.2775,0.00105,3.2
79600,0.8723,0.685,0.1882,0.2783,0.00105,3.2
79700,0.8501,0.6796,0.1812,0.2614,0.00105,3.3
79800,0.8658,0.6846,0.1794,0.2769,0.00105,3.3
79900,0.8721,0.6865,0.1835,0.2756,0.00105,3.3
80000,0.8645,0.6875,0.196,0.2704,0.00105,3.3
80100,0.8593,0.6843,0.1881,0.2719,0.00105,3.3
80200,0.8634,0.6851,0.19,0.2726,0.00105,3.3
80300,0.8722,0.6878,0.183,0.2764,0.00106,3.3
80400,0.8695,0.6865,0.1954,0.2741,0.00106,3.2
80500,0.8652,0.6853,0.1838,0.2704,0.00106,3.2
80600,0.8699,0.6854,0.184,0.2727,0.00106,3.3
80700,0.871,0.6919,0.181,0.273,0.00106,3.3
80800,0.8542,0.6839,0.1909,0.2665,0.00106,3.3
80900,0.8717,0.6874,0.1831,0.2767,0.00106,3.2
81000,0.8591,0.6823,0.1825,0.2694,0.00106,3.2
81100,0.8662,0.6887,0.1752,0.2713,0.00107,3.2
81200,0.8671,0.6859,0.1847,0.2741,0.00107,3.2
81300,0.8794,0.6859,0.1771,0.2783,0.00107,3.3
81400,0.8685,0.6889,0.1891,0.2749,0.00107,3.2
81500,0.8745,0.686,0.1859,0.2822,0.00107,3.2
81600,0.863,0.6834,0.1837,0.275,0.00107,3.2
81700,0.873,0.6956,0.1826,0.2706,0.00107,3.3
81800,0.8544,0.6882,0.1844,0.268,0.00108,3.3
81900,0.8742,0.6855,0.1814,0.2806,0.00108,3.3
82000,0.8647,0.6835,0.1823,0.276,0.00108,3.3
82100,0.8674,0.6848,0.1887,0.2761,0.00108,3.2
82200,0.8638,0.6865,0.1868,0.2732,0.00108,3.3
82300,0.8575,0.6881,0.1862,0.2635,0.00108,3.3
82400,0.8552,0.6826,0.1918,0.2722,0.00108,3.3
82500,0.8584,0.6817,0.1777,0.2731,0.00108,3.3
82600,0.8612,0.6903,0.1867,0.2713,0.00109,3.2
82700,0.8686,0.6872,0.1908,0.2783,0.00109,3.3
82800,0.8627,0.686,0.1838,0.2688,0.00109,3.2
82900,0.8589,0.6839,0.1891,0.2727,0.00109,3.2
83000,0.8613,0.6827,0.1828,0.27,0.00109,3.2
83100,0.8581,0.6804,0.1843,0.2673,0.00109,3.3
83200,0.8765,0.6882,0.1759,0.2787,0.00109,3.3
83300,0.8629,0.6861,0.1833,0.2708,0.0011,3.2
83400,0.8676,0.6859,0.1851,0.2752,0.0011,3.3
83500,0.8545,0.6833,0.1791,0.2642,0.0011,3.3
83600,0.8674,0.688,0.1864,0.2759,0.0011,3.2
83700,0.8615,0.6856,0.1823,0.2739,0.0011,3.3
83800,0.8668,0.687,0.1814,0.2703,0.0011,3.3
83900,0.8613,0.6832,0.1817,0.2675,0.0011,3.3
84000,0.8607,0.687,0.1821,0.2643,0.0011,3.3
84100,0.8694,0.6864,0.1833,0.2719,0.00111,3.2
84200,0.8694,0.6893,0.1802,0.2763,0.00111,3.3
84300,0.8628,0.6821,0.1745,0.2679,0.00111,3.2
84400,0.8524,0.6831,0.1851,0.2584,0.00111,3.2
84500,0.8531,0.6817,0.1852,0.2658,0.00111,3.2
84600,0.8481,0.685,0.1859,0.2633,0.00111,3.2
84700,0.8686,0.6899,0.184,0.2748,0.00111,3.3
84800,0.867,0.6887,0.186,0.2734,0.00111,3.2
84900,0.8504,0.6829,0.1844,0.2642,0.00112,3.3
85000,0.8623,0.6798,0.1863,0.2681,0.00112,3.3
85100,0.8617,0.6846,0.1907,0.2677,0.00112,3.3
85200,0.8675,0.6837,0.1828,0.2756,0.00112,3.3
85300,0.86,0.6852,0.1871,0.2656,0.00112,3.3
85400,0.8644,0.6875,0.1768,0.2699,0.00112,3.3
85500,0.8629,0.6852,0.1767,0.2687,0.00112,3.3
85600,0.8579,0.6855,0.1851,0.2647,0.00113,3.3
85700,0.8634,0.6859,0.1805,0.2706,0.00113,3.3
85800,0.8639,0.6875,0.1805,0.2676,0.00113,3.2
85900,0.879,0.6896,0.1853,0.2847,0.00113,3.2
86000,0.8755,0.6876,0.1809,0.2779,0.00113,3.3
86100,0.8623,0.6875,0.1722,0.2714,0.00113,3.3
86200,0.8621,0.6839,0.178,0.2701,0.00113,3.3
86300,0.8718,0.6872,0.1799,0.273,0.00113,3.2
86400,0.8602,0.6876,0.1882,0.2692,0.00114,3.3
86500,0.8618,0.6873,0.1856,0.2731,0.00114,3.3
86600,0.8754,0.6892,0.1858,0.2849,0.00114,3.2
86700,0.8716,0.6886,0.1941,0.2761,0.00114,3.2
86800,0.8709,0.6872,0.1909,0.2744,0.00114,3.2
86900,0.8748,0.687,0.1714,0.2751,0.00114,3.2
87000,0.8501,0.6807,0.1817,0.2631,0.00114,3.3
87100,0.8732,0.6866,0.1869,0.2771,0.00114,3.3
87200,0.8637,0.6887,0.1756,0.266,0.00115,3.3
87300,0.8511,0.6815,0.1877,0.2638,0.00115,3.3
87400,0.8465,0.6797,0.1892,0.2655,0.00115,3.3
87500,0.8635,0.6873,0.1752,0.2642,0.00115,3.2
87600,0.8583,0.6825,0.1846,0.2678,0.00115,3.3
87700,0.8624,0.6862,0.1745,0.2701,0.00115,3.2
