step,loss,l2,ce,plan,lr,sps
9600,1.6007,0.6939,0.1704,0.9991,0.000126,3.3
9700,1.5843,0.6872,0.1703,0.9883,0.000127,3.3
9800,1.5841,0.6891,0.1706,0.993,0.000129,3.3
9900,1.5788,0.6901,0.1733,0.9874,0.00013,3.3
10000,1.5786,0.6864,0.1692,0.9876,0.000131,3.2
10100,1.5809,0.6877,0.1746,0.987,0.000133,3.2
10200,1.5804,0.6867,0.1653,0.9913,0.000134,3.2
10300,1.5899,0.6884,0.1765,0.997,0.000135,3.3
10400,1.5851,0.6854,0.168,0.9906,0.000137,3.3
10500,1.577,0.6824,0.1712,0.9874,0.000138,3.3
10600,1.5822,0.6847,0.1751,0.9917,0.000139,3.3
10700,1.5753,0.6868,0.1708,0.9934,0.000141,3.3
10800,1.5768,0.6839,0.1748,0.987,0.000142,3.3
10900,1.5849,0.6907,0.1716,0.9946,0.000143,3.3
11000,1.5892,0.6863,0.1628,0.9929,0.000145,3.3
11100,1.577,0.6903,0.1749,0.9871,0.000146,3.3
11200,1.5652,0.6865,0.1793,0.9787,0.000147,3.2
11300,1.5704,0.6875,0.1719,0.9841,0.000149,3.3
11400,1.5806,0.6913,0.1677,0.986,0.00015,3.2
11500,1.5722,0.685,0.1746,0.9902,0.000151,3.3
11600,1.581,0.6903,0.1615,0.9861,0.000153,3.3
11700,1.5855,0.6887,0.1713,0.992,0.000154,3.3
11800,1.5681,0.6854,0.1649,0.9807,0.000155,3.3
11900,1.5787,0.6923,0.1791,0.9833,0.000156,3.3
12000,1.5767,0.6904,0.1575,0.9841,0.000158,3.3
12100,1.5774,0.6869,0.1618,0.9816,0.000159,3.2
12200,1.5749,0.6898,0.1665,0.976,0.00016,3.3
12300,1.5667,0.6911,0.1727,0.9802,0.000162,3.3
12400,1.5705,0.6904,0.1769,0.9799,0.000163,3.2
12500,1.5743,0.6882,0.1726,0.9866,0.000164,3.3
12600,1.5786,0.6902,0.161,0.9783,0.000166,3.3
12700,1.5734,0.681,0.1736,0.9869,0.000167,3.3
