timestamp, index, pstate, temperature.gpu, power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2026/07/03 16:05:44.013, 1, P2, 31, 57.77 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:44.015, 2, P2, 35, 51.32 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:44.016, 3, P2, 31, 50.78 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:44.016, 4, P2, 30, 56.99 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:44.017, 5, P2, 30, 65.35 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:44.018, 6, P2, 31, 46.53 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:44.019, 7, P2, 30, 50.89 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:45.020, 0, P5, 30, 47.05 W, 3 MiB, 0 %, 0 %
2026/07/03 16:05:45.021, 1, P2, 31, 57.93 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:45.022, 2, P2, 35, 51.51 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:45.023, 3, P2, 31, 50.77 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:45.024, 4, P2, 30, 57.08 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:45.024, 5, P2, 30, 65.40 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:45.025, 6, P2, 30, 46.35 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:45.026, 7, P2, 30, 50.87 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:46.027, 0, P8, 29, 18.34 W, 3 MiB, 0 %, 0 %
2026/07/03 16:05:46.028, 1, P2, 31, 57.62 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:46.029, 2, P2, 35, 51.49 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:46.030, 3, P2, 31, 50.65 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:46.031, 4, P2, 30, 57.19 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:46.032, 5, P2, 30, 65.58 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:46.032, 6, P2, 30, 46.38 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:46.033, 7, P2, 30, 50.76 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:47.034, 0, P8, 29, 13.64 W, 3 MiB, 0 %, 0 %
2026/07/03 16:05:47.035, 1, P2, 31, 57.58 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:47.036, 2, P2, 35, 51.25 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:47.037, 3, P2, 31, 50.62 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:47.038, 4, P2, 30, 57.25 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:47.039, 5, P2, 30, 65.39 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:47.040, 6, P2, 30, 46.53 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:47.040, 7, P2, 30, 50.81 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:48.045, 0, P8, 29, 7.77 W, 3 MiB, 0 %, 0 %
2026/07/03 16:05:48.047, 1, P2, 31, 57.61 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:48.048, 2, P2, 35, 51.26 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:48.049, 3, P2, 31, 50.42 W, 390 MiB, 0 %, 0 %
