step,optimizer_step_est,tokens_b,progress,loss,l2,ce,plan,lr,sps
6100,381.25,0.1998848,3.9975883401488934,1.6039,0.6995,0.1698,1.0037,8.01e-05,3.2
6200,387.5,0.2031616,4.063122575233302,1.5982,0.6945,0.1743,1.0,8.14e-05,3.2
6300,393.75,0.2064384,4.12865681031771,1.5902,0.688,0.1701,0.9989,8.27e-05,3.2
6400,400.0,0.2097152,4.194191045402118,1.5895,0.6921,0.1775,0.9986,8.41e-05,3.2
6500,406.25,0.212992,4.259725280486526,1.5936,0.6922,0.1703,0.9968,8.54e-05,3.2
6600,412.5,0.2162688,4.325259515570934,1.5896,0.701,0.1733,0.9943,8.67e-05,3.2
6700,418.75,0.2195456,4.390793750655343,1.5884,0.6851,0.1711,0.9964,8.79e-05,3.2
6800,425.0,0.2228224,4.45632798573975,1.5943,0.6888,0.1742,1.0014,8.94e-05,3.2
6900,431.25,0.2260992,4.521862220824159,1.5872,0.6918,0.1764,1.0004,9.07e-05,3.2
7000,437.5,0.229376,4.587396455908566,1.5894,0.6866,0.1821,0.9969,9.19e-05,3.2
7100,443.75,0.2326528,4.652930690992975,1.5868,0.691,0.1771,0.9947,9.32e-05,3.2
7200,450.0,0.2359296,4.718464926077383,1.5922,0.6871,0.1737,0.9983,9.47e-05,3.2
7300,456.25,0.2392064,4.783999161161791,1.5953,0.6887,0.1667,1.0048,9.59e-05,3.2
7400,462.5,0.2424832,4.849533396246199,1.592,0.6879,0.1672,0.9982,9.72e-05,3.2
7500,468.75,0.24576,4.915067631330607,1.5869,0.6892,0.1651,0.9964,9.84e-05,3.2
7600,475.0,0.2490368,4.980601866415015,1.5779,0.6914,0.1717,0.9865,9.99e-05,3.2
7700,481.25,0.2523136,5.046136101499423,1.5897,0.6898,0.1643,0.9959,0.000101,3.2
7800,487.5,0.2555904,5.111670336583831,1.5951,0.6908,0.1677,0.9989,0.000102,3.2
7900,493.75,0.2588672,5.1772045716682396,1.592,0.6876,0.17,0.998,0.000104,3.2
8000,500.0,0.262144,5.242738806752648,1.5814,0.6866,0.17,0.9941,0.000105,3.2
8100,506.25,0.2654208,5.308273041837055,1.5962,0.6918,0.1674,0.9959,0.000106,3.2
8200,512.5,0.2686976,5.373807276921464,1.5844,0.6825,0.1711,0.9995,0.000108,3.2
8300,518.75,0.2719744,5.439341512005872,1.5793,0.6855,0.1727,0.9916,0.000109,3.2
8400,525.0,0.2752512,5.50487574709028,1.5911,0.6895,0.1676,0.9946,0.00011,3.2
8500,531.25,0.278528,5.570409982174688,1.5877,0.6955,0.1704,0.9887,0.000112,3.3
8600,537.5,0.2818048,5.6359442172590954,1.5853,0.6855,0.1692,0.9938,0.000113,3.2
8700,543.75,0.2850816,5.701478452343505,1.5808,0.6863,0.1705,0.9929,0.000114,3.2
8800,550.0,0.2883584,5.767012687427912,1.5802,0.6895,0.1786,0.9922,0.000116,3.2
8900,556.25,0.2916352,5.8325469225123205,1.59,0.6926,0.1674,0.9919,0.000117,3.2
9000,562.5,0.294912,5.898081157596728,1.5826,0.6847,0.1651,0.9952,0.000118,3.2
9100,568.75,0.2981888,5.963615392681136,1.5889,0.6916,0.1779,0.9962,0.000119,3.2
9200,575.0,0.3014656,6.029149627765545,1.5933,0.6919,0.1754,0.9973,0.000121,3.2
9300,581.25,0.3047424,6.094683862849952,1.5807,0.691,0.1705,0.9894,0.000122,3.2
9400,587.5,0.3080192,6.160218097934361,1.5827,0.6859,0.1668,0.9932,0.000123,3.3
9500,593.75,0.311296,6.225752333018769,1.5817,0.6857,0.1734,0.9906,0.000125,3.2
